question,subfield,age,name
آیا فرزند شما هنگام صحبت کردن قواعد دستور زبان را رعایت می‌کند؟,زبانی,8,آزمون رشد شناختی ۸ تا ۱۱ سال
 آیا فرزند شما می‌تواند کتاب‌های داستان متناسب با سن خود را به‌راحتی بخواند؟ ,زبانی,,
 آیا فرزند شما می‌تواند کلماتی را که آموزش‌دیده به‌درستی بنویسد؟ ,زبانی,,
آیا فرزند شما می‌تواند یک حرف را که در چند کلمه مشترک است از راه شنیدن تشخیص دهد؟ ,زبانی,,
آیا فرزند شما می‌تواند هنگام پرسیدن سؤال از کلمات پرسشی(چطور، چند، چه و...) استفاده کند؟ ,زبانی,,
آیا فرزند شما می‌تواند اعداد را به‌صورت معکوس بشمارد؟ (میزان و سرعت شمارش متناسب با سن),حافظه,,
آیا فرزند شما می‌تواند چهار عمل اصلی ریاضی را به‌درستی انجام دهد؟ (جمع و تفریق و ضرب و تقسیم متناسب با سن),حافظه,,
آیا فرزند شما می‌تواند یک تصویر ناقص را کامل کند؟ ,حافظه,,
آیا فرزند شما می‌تواند شعری(به‌طور مثال 6بیتی) را حفظ کند؟,حافظه,,
آیا فرزند شما می‌تواند علت به وجود آمدن امور، رویدادها و حوادث مختلف را تشخیص دهد؟ ,حافظه,,
آیا فرزند شما می‌تواند دلایل درست و نادرست امور مختلف را قضاوت و ارزیابی کند؟,فکر,,
آیا فرزند شما می‌تواند در مورد موضوعات مختلف سؤال بپرسد؟ ,فکر,,
آیا فرزند شما می‌تواند درباره اختلاف‌نظرش با دیگران و دلایل آن صحبت کند؟ ,فکر,,
آیا فرزند شما می‌تواند با دوستانش همدردی کند؟ ,فکر,,
آیا فرزند شما می‌تواند برای حل یک مسئله راه‌حل‌های مختلفی ارائه دهد؟ ,فکر,,
آیا فرزند شما می‌تواند در انتهای یک داستان یا فیلم و کارتون از آن نتیجه‌گیری مناسبی داشته باشد؟ ,حل مسئله,,
آیا فرزند شما می‌تواند برای پیدا کردن پاسخ سؤالات، اطلاعات مرتبط با آن را جمع‌آوری کند؟ ,حل مسئله,,
آیا فرزند شما متوجه درستی و نادرستی اطلاعات به هنگام حل مسئله می‌شود؟,حل مسئله,,
آیا فرزند شما می‌تواند یک پازل پیچیده با قطعات بالا، متناسب با سن‌اش را کامل کند؟ ,حل مسئله,,
آیا فرزند شما می‌تواند از راه‌حل‌های پیشنهادی خود برای حل مسئله دفاع کند؟,حل مسئله,,
