question,subfield,age,name
آیا کودکتان می‌تواند در مورد هیجاناتش مانند شادی، غم، ترس و خشم خود با شما صحبت کند؟,خودآگاهی هیجانی,3,آزمون رشد هیجانی ۳ تا ۷ سال
 زمانی که کودک شما خشمگین و یا اندوهگین می‌شود قادر است علت آن را مشخص کند و درباره آن توضیح دهد؟,خودآگاهی هیجانی,,
آیا کودک شما قادر است منبع ترس خود را شناسایی کند و درباره واکنشی که از خود نشان می‌دهد توضیح دهد؟,خودآگاهی هیجانی,,
آیا کودک شما می‌داند فریاد زدن و اخم کردن نشانه‌های بروز چه هیجاناتی هستند؟,خودآگاهی هیجانی,,
آیا کودکتان قادر است در مورد شادی خود که براثر یک اتفاق خوشایند مانند مراسم جشن برایش ایجادشده با شما صحبت کند؟,خودآگاهی هیجانی,,
آیا کودک شما هنگامی‌که خشمگین می‌شود، عواقب ناشی از آن را می‌پذیرد؟ (مانند محرومیت از بازی پس از پرتاب کردن شیء به دلیل عصبانیت),مدیریت هیجانات,,
آیا کودک شما قادر است ناراحتی خود را از خراب شدن اسباب‌بازی موردعلاقه‌اش به شیوه مناسب ابراز کند؟,مدیریت هیجانات,,
آیا کودک شما می‌تواند در مواجهه با میهمانان جدید، واکنش رفتاری مناسبی از خود بروز دهد؟,مدیریت هیجانات,,
آیا کودک شما هنگام عصبانیت روش خاصی برای مدیریت خشم خود دارد؟,مدیریت هیجانات,,
زمانی که کودک از شما چیزی می‌خواهد و به او می‌گویید باید چند لحظه صبر کنی تا کار من نوبتم، آیا کودکتان قادر است برای دستیابی به خواسته‌اش صبر کند؟,مدیریت هیجانات,,
آیا کودک شما متوجه شادی، غم، خشم، ترس و... اطرافیان می‌شود؟,شناخت هیجانات دیگران,,
آیا کودک متوجه علت ناراحتی و خشمتان شده و از شما عذرخواهی می‌کند؟,شناخت هیجانات دیگران,,
آیا کودک شما با دیدن فردی که اخم‌کرده می‌تواند تشخیص دهد که او خشمگین است؟,شناخت هیجانات دیگران,,
آیا کودکتان قادر است هنگامی‌که شما یا دیگران غمگین یا عصبانی هستید، درکتان کرده و همراهی‌تان کند؟,شناخت هیجانات دیگران,,
آیا کودک شما زمانی که دوستش، خواهر یا برادرش عصبانی است، می‌تواند او را آرام کند؟,شناخت هیجانات دیگران,,
آیا کودک شما هنگامی‌که با دوستش بر سر مسئله‌ای توافق ندارند و غمگین می‌شود، قادر است خودش مسئله را حل کند و واکنش مناسبی بروز می‌دهد؟,مدیریت هیجانات در روابط بین فردی,,
آیا کودک شما هنگام بازی با همسالانش می‌تواند آن‌ها را متقاعد کند تا کاری را که می‌گوید انجام دهند؟,مدیریت هیجانات در روابط بین فردی,,
آیا کودک شما توانایی برقراری ارتباطی خوب و صمیمانه با دوستانش را دارد؟,مدیریت هیجانات در روابط بین فردی,,
آیا کودک شما می‌تواند در موقعیت‌هایی نگاه خودمحورانه را کنار گذاشته و از خواسته خودش بگذرد؟,مدیریت هیجانات در روابط بین فردی,,
آیا کودک شما هنگامی‌که فردی در مورداحساسش با او صحبت می‌کند قادر است واکنش مناسبی از خود بروز دهد؟,مدیریت هیجانات در روابط بین فردی,,
