question,subfield,age,name,type
آیا کودک شما می­تواند توپ را نزدیک به هدف پرتاب کرده یا حتی به هدف بزند؟ , حرکتی درشت,3,آزمون شناخت حوزه‌ی رشدی ۳ تا ۷ سال,system
آیا کودک شما در فعالیت‌هایی مانند قیچی کردن، کار با اسباب‌بازی و یا پاره کردن می‌تواند بین چشم و دست خود هماهنگی ایجاد کند؟ ,حرکتی ظریف,,,
آیا کودک شما در جمع‌کردن اتاق خود مشارکت فعالانه دارد؟ ,خودیاری,,,
آیا کودک شما به هنگام نقاشی از ترکیب رنگ‌های مختلف استفاده می‌کند؟,رشد حسی,,,
آیا کودک شما می­تواند به کمک ابزار ساختنی یا چیدنی مانند لگو یک سازه بسازد؟ ,رشد حسی,,,
آیا کودک شما می‌تواند درباره‌ی تصاویر کتاب‌های داستان صحبت کند؟,زبانی,,,
آیا کودک شما می‌تواند 7 عدد غیر متوالی و یا 7 کلمه متفاوت را بعد از شنیدن به یاد آورده و تکرار کند؟,حافظه,,,
آیا کودک شما می‌تواند برای حرف‌هایش مثال بزند؟,فکر,,,
آیا کودک شما می‌تواند اشیاء را بر اساس ویژگی‌هایی مانند کاربرد، رنگ و یا ...متناسب با سن خود طبقه‌بندی کند؟,حل مسئله,,,
آیا کودک شما می‌تواند نتیجه یا عواقب یک داستان را پیش‌بینی کند؟,حل مسئله,,,
آیا کودک شما می‌تواند راجع به علت هیجانات خود صحبت کند؟,خودآگاهی هیجانی,,,
آیا کودک شما می‌تواند هیجانات خودش را به‌خوبی بروز داده تا دیگران را تحت تأثیر قرار دهد؟,مدیریت هیجانات,,,
آیا کودک شما متوجه غم یا شادی دیگران می‌شود و با آن‌ها همراهی می‌کند؟,شناخت هیجانات دیگران,,,
آیا کودک شما وقتی دوستش ناراحت است، می‌تواند عکس‌العمل مناسبی نشان دهد؟ (مثلاً اسباب‌بازی خود را به او دهد),شناخت هیجانات دیگران,,,
آیا کودک شما در موقعیت ترس، می‌تواند در کنار والدین و سایر بزرگ‌ترها آرام بگیرد؟ ,مدیریت هیجانات در روابط بین فردی,,,
کودکم می‌تواند در مورد بعضی از ویژگی‌ها، علایق و یا احساسات خودش صحبت کند؟,ارتباط مؤثر,,,
کودکم قادر است در موقعیت اختلاف‌نظر و بحث با دوستانش، بر هیجان خود مسلط باشد؟,حل تعارض,,,
کودکم بعضی تفاوت‌های نقش دختران و پسران را درک می‌کند و متناسب با آن رفتار می‌کند؟,رعایت حریم خود و دیگران,,,
کودکم بعضی آداب اولیه اجتماعی را در میهمانی رعایت می‌کند؟,مسئولیت‌پذیری اجتماعی,,,
کودکم گاهی امکانات خود را با دیگران تقسیم می‌کند؟,مسئولیت‌پذیری اجتماعی,,,
