question,subfield,age,name
آیا کودک شما قادر است اشیاء را هل داده یا بکشد؟, حرکتی درشت,3,آزمون حرکتی رشدی ۳ تا ۷ سال
آیا کودک شما می‌تواند جفت‌پا بپرد؟, حرکتی درشت,3,
آیا کودک شما قادر است در حال لی‌لی کردن تعادل خود را حفظ کند؟, حرکتی درشت,3,
آیا کودک شما می‌تواند سه‌چرخه سواری کند و یا از وسایلی شبیه آن مانند اسکوتر استفاده نماید؟, حرکتی درشت,3,
آیا کودک شما می‌تواند توپ را نزدیک به هدف پرتاب کند؟, حرکتی درشت,3,
آیا کودک شما می‌تواند از قیچی برای بریدن تصویری یا خطوطی روی کاغذ استفاده کند؟,حرکتی ظریف,3,
آیا کودک شما می‌تواند مداد را در دست گرفته و متناسب با سنش تا حد امکان داخل خطوط تصویر را رنگ­آمیزی کند؟,حرکتی ظریف,3,
آیا کودک شما می­تواند با کمترین کمک با توجه به سنش، دکمه‌های لباس خود را ببندد؟,حرکتی ظریف,3,
آیا کودک شما می­تواند با لگو یا هر وسیله بازی ساختنی دیگر، یک سازه بسازد؟,حرکتی ظریف,3,
آیا کودک شما هماهنگی بین چشم و دست دارد؟ (به‌طور مثال خوردن غذا با قاشق بدون ریختن البته با توجه به سن کودک),حرکتی ظریف,3,
آیا کودک شما وسایل مربوط به خودش را جمع کرده و در جای خود می‌گذارد؟,خودیاری,3,
آیا کودک شما به‌تنهایی غذا می‌خورد؟,خودیاری,3,
آیا کودک شما دست و صورت خود را می‌شوید؟,خودیاری,3,
آیا کودک شما به‌تنهایی دستشویی می‌رود؟ (با توجه به سن کودک),خودیاری,3,
آیا کودک شما می‌تواند لباس‌های خود را با کمترین کمک بپوشد؟,خودیاری,3,
آیا کودک شما قادر است بوها و مزه‌های مختلف را تشخیص دهد؟,رشد حسی,3,
آیا کودک شما قادر است صداها و مکانی که از آن به گوش می‌رسند را تشخیص دهد؟,رشد حسی,3,
آیا کودک شما قادر است رنگ‌های اصلی را تشخیص داده و تا حدی ترکیب رنگ‌ها را بشناسد؟,رشد حسی,3,
آیا کودک شما قادر است زبری و نرمی اشیاء را تشخیص دهد؟,رشد حسی,3,
آیا کودک شما نسبت به بوهای مطبوع یا نامطبوع واکنش مناسب نشان می‌دهد؟,رشد حسی,3,
