question,subfield,age,name
آیا فرزندتان می‌تواند بعضی توانایی‌ها، علائق و ویژگی‌های شخصی خود را عنوان کند؟,ارتباط مؤثر,8,آزمون رشد اجتماعی-اخلاقی ۸ تا ۱۱ سال
آیا فرزندتان می‌تواند نوع احساس مخاطب خود را تشخیص دهد و رفتار متناسب با آن داشته باشد؟,ارتباط مؤثر,,
آیا فرزندتان یک یا چند دوست صمیمی دارد و قادر به حفظ رابطه دوستی خود هست؟,ارتباط مؤثر,,
آیا فرزندتان معمولاً با دقت به کلام مخاطب خود گوش می‌دهد و قادر است پاسخ مناسب ارائه نماید؟,ارتباط مؤثر,,
آیا فرزندتان معمولاً تعامل سازگارانه‌ای در محیط‌های اجتماعی دارد؟,ارتباط مؤثر,,
آیا فرزندتان می‌داند در تعاملات اجتماعی، خواسته‌های افراد گاهی باهم در تعارض هستند؟,حل تعارض,,
در صورت بروز تعارض، آیا فرزندتان قادر است از راه‌حل‌های مناسب و منطقی جهت حل آن استفاده نماید؟,حل تعارض,,
آیا فرزندتان می‌تواند عضو یک گروه بماند و با آن‌ها فعالیت جمعی داشته باشد؟,حل تعارض,,
آیا فرزندتان می‌تواند اشتباهات خود یا دیگران را ببخشد و رفتار جبرانی مناسب از خود نشان دهد؟,حل تعارض,,
آیا فرزندتان گفتار و رفتار صادقانه‌ای دارد و مسائل خود را بدون پنهان‌کاری، طرح می‌کند؟,حل تعارض,,
آیا فرزندتان می‌داند که هر فردی حریم شخصی خود را دارد که باید به آن احترام گذاشت؟,رعایت حریم خود و دیگران,,
آيا رفتار فرزندتان در تعاملات اجتماعی، مؤدبانه است؟,رعایت حریم خود و دیگران,,
آیا فرزندتان می‌تواند نامناسب بودن یک درخواست را تشخیص داده و به‌موقع به آن پاسخی مناسب دهد؟,رعایت حریم خود و دیگران,,
تفاوت‌های نقش‌های دختران و پسران آیا برای فرزندتان روشن است؟,رعایت حریم خود و دیگران,,
آیا فرزندتان نسبت به نقش جنسیتی خود احساس مثبتی دارد و متناسب با آن‌ها رفتار می‌نماید؟,رعایت حریم خود و دیگران,,
آیا فرزندتان با بسیاری از آداب اجتماعی آشناست و آن‌ها را رعایت می‌کند؟,مسئولیت‌پذیری اجتماعی,,
آیا فرزندتان اهمیت نظم و رعایت قوانین را درک کرده و به آن‌ها پایبند است؟,مسئولیت‌پذیری اجتماعی,,
آیا فرزندتان در تعاملات اجتماعی خود، با اعتمادبه‌نفس حاضر می‌شود و باجرئت نظر و دیدگاهش را مطرح می‌کند؟,مسئولیت‌پذیری اجتماعی,,
آیا فرزندتان می‌تواند در موقعیت‌های چالشی، صبوری کند؟,مسئولیت‌پذیری اجتماعی,,
آیا فرزندتان گاهی اوقات از امکانات و تسهیلات خود چشم‌پوشی کرده و آن‌ها را در اختیار دیگران قرار می‌دهد؟,مسئولیت‌پذیری اجتماعی,,
